nutrition,value,measure,food_product,pr_daily_norm
"Vitamin C, total ascorbic acid",3.6,MG,bean,4.0
Thiamin,0.038,MG,bean,3.166666666666667
Riboflavin,0.084,MG,bean,6.461538461538462
Niacin,0.105,MG,bean,0.65625
Vitamin B-6,0.045,MG,bean,2.6470588235294117
Vitamin B-12,0.08,UG,bean,3.3333333333333335
"Choline, total",4.6,MG,bean,0.8363636363636363
Vitamin K (phylloquinone),2.1,UG,bean,1.7500000000000002
"Folate, DFE",3.0,UG,bean,0.75
Cholesterol,2.0,MG,bean,0.6666666666666667
"Fatty acids, total saturated",0.64,G,bean,3.2
Protein,1.34,G,beef,2.68
Total lipid (fat),2.15,G,beef,2.7564102564102564
"Carbohydrate, by difference",29.6,G,beef,10.763636363636364
"Fiber, total dietary",1.8,G,beef,6.42857142857143
"Calcium, Ca",39.0,MG,beef,3.0
"Iron, Fe",0.12,MG,beef,0.6666666666666666
"Magnesium, Mg",8.0,MG,beef,1.9047619047619049
"Phosphorus, P",37.0,MG,beef,2.96
"Potassium, K",134,MG,beef,2.851063829787234
"Sodium, Na",62.0,MG,beef,2.6956521739130435
"Zinc, Zn",0.14,MG,beef,1.2727272727272727
"Copper, Cu",0.025,MG,beef,2.777777777777778
"Selenium, Se",0.4,UG,beef,0.7272727272727273
"Vitamin A, RAE",5.0,UG,beef,0.5555555555555556
Vitamin E (alpha-tocopherol),0.25,MG,beef,1.6666666666666667
Vitamin D (D2 + D3),0.0,UG,beef,0.0
"Vitamin C, total ascorbic acid",3.6,MG,beef,4.0
Thiamin,0.038,MG,beef,3.166666666666667
Riboflavin,0.084,MG,beef,6.461538461538462
Niacin,0.105,MG,beef,0.65625
Vitamin B-6,0.045,MG,beef,2.6470588235294117
Vitamin B-12,0.08,UG,beef,3.3333333333333335
"Choline, total",4.6,MG,beef,0.8363636363636363
Vitamin K (phylloquinone),2.1,UG,beef,1.7500000000000002
"Folate, DFE",3.0,UG,beef,0.75
Cholesterol,2.0,MG,beef,0.6666666666666667
"Fatty acids, total saturated",0.64,G,beef,3.2
Protein,21.3,G,beef rib,42.6
"Fiber, total dietary",0.0,G,beef rib,0.0
"Iron, Fe",1.82,MG,beef rib,10.11111111111111
"Magnesium, Mg",20.0,MG,beef rib,4.761904761904762
"Phosphorus, P",184,MG,beef rib,14.719999999999999
"Sodium, Na",54.0,MG,beef rib,2.3478260869565215
"Copper, Cu",0.047,MG,beef rib,5.222222222222221
"Manganese, Mn",0.006,MG,beef rib,0.26086956521739135
